,original_game,recommended_game1,recommended_game2,recommended_game3,recommended_game4,recommended_game5
0,anno 2070,anno: 1404 - gold edition,anno 2205 standard edition [online game code],nascar heat evolution (xbox one) - xbox one,ride - playstation 4,thq tak & the power of juju
1,dirt 3,need for speed: prostreet - pc,need for speed: shift - pc,thrustmaster t500rs racing wheel - playstation 3,test drive unlimited 2 [download],dirt - pc
2,legend of zelda box set prima official game guide,pokemon omega ruby and pokemon alpha sapphire dual pack - nintendo 3ds,xbox one stereo headset,third party made blue wired usb game pad controller for xbox 360,new nintendo 3ds xl hyrule edition,pac-man amiibo - japan import (super smash bros series)
3,"usb microphone for rockband or guitar hero (ps3, wii, xbox360)",nintendo selects: animal crossing: city folk,new gamecube replacement analog cap yellow replaces worn out analog cap on gamecube controller,blazblue: continuum shift extend - standard edition - xbox 360,rock band track pk vol2 xbox 360,50 cent: bulletproof - xbox
4,component av cable for nintendo wii to hdtv (bulk packaging),ps3 component video cable,wii console with mario kart wii bundle - white,thief gold [download],wii remote plus - black,blacksite: area 51 - xbox 360 (special)
5,silicone protective case for controller (black),disney infinity (2.0 edition) [download],kontrolfreek fps infinity,transformers rise of the dark spark - nintendo 3ds,"insassy (tm) replacement talkback puck cable for turtle beach earforce x1, x11 and x41 headsets with free insassy stylus",mcbazel rca toslink optical audio cable adapter for xbox 360 & xbox 360 slim
6,game boy micro ac wall charger micro power adapter,xbox 360 4gb kinect holiday value bundle features two great games: kinect sports: season two and kinect adventures,king's quest collection,gameboy advance sp gameshark game codes,age of empires: the age of kings,the biggest loser ultimate workout - xbox 360
7,"2 pack - gator crunch wii gamecube 6ft extension cable / cord (lifetime warranty, bulk packaging)",xbox 360 wireless controller (white),official nintendo white classic gamecube controller,component av cable for nintendo wii to hdtv (bulk packaging),nintendo 3ds retractable metallic touch pen (4 pieces),heroes of might and magic v hammers of fate expansion pack - pc
8,breath of fire iii,super nintendo snes to pc usb fx smart controller - plugfx,catwoman - playstation 2,breath of fire ii,suikoden,castlevania: harmony of dissonance
9,mega man legends,mega man x command mission - gamecube,mega man legends 2,mega man - nintendo nes,mega man x8 - playstation 2,mega man 6
10,tekken - playstation,tekken 2,tekken - dark resurrection - sony psp,devil kings - playstation 2,tomba! 2: the evil swine return,the sky crawlers: innocent aces - nintendo wii
11,tekken 2,tekken - playstation,soul calibur v collector's edition -xbox 360,ctr: crash team racing,tekken 3,rayman
12,ace combat 2,wipeout,teenage mutant ninja turtles: danger of the ooze - xbox 360,omerta: city of gangsters - xbox 360,xcom: enemy within,ps2 to ps3 controller converter adapter
13,fighting force,playstation wired stereo gaming chat bass dual ear headset headphone with microphone boom mic for sony playstation 4 ps4,nintendo entertainment system,gamilys 64 mb memory card  compatible for playstation 2,tenchu 2,cool spot
14,tomb raider ii,tomb raider iii: adventures of lara croft,tomb raider: the last revelation,arcade zone - nintendo wii,gex 3 deep cover gecko,battletoads in battlemaniacs
15,wwf warzone,wwf attitude,kontrolfreek cqcx - xbox one,wwe: smackdown! just bring it!,mortal kombat trilogy,wwf smackdown 2: know your role
16,command & conquer: tiberian sun - pc,master of orion 3 - pc,galactic civilizations ii ultimate edition - pc,neverwinter nights platinum - pc,playstation 3 dualshock 3 wireless controller (crimson red),star wars galaxies: an empire divided - pc
17,final fantasy vii,final fantasy viii,7th guest - pc,2k sports combo pack - mlb2k13/nba2k13 - playstation 3,jade cocoon: story of tamamayu - playstation,heroes of might and magic iii
18,grim fandango - pc,bookworm - pc,galactic civilizations ii ultimate edition - pc,real myst,star wars jedi knight: dark forces ii  (includes mysteries of the sith),amber: journeys beyond (jewel case) - pc
19,half-life - pc,the chronicles of riddick: escape from butcher bay (developer's cut),"warhammer 40,000: dawn of war - pc",kill.switch,mortal kombat advance,mortal kombat deadly alliance
20,unreal (jewel case) - pc,half-life: game of the year edition - pc,unreal tournament: game of the year edition - pc,fallout,unreal 2: the awakening,star wars: rogue squadron 3d (jewel case)
21,1080 snowboarding,playstation 2 bundle - family,midtown madness 2 - pc,wwii fighters - pc,san francisco rush extreme racing - nintendo 64,corvette - playstation 2
22,banjo-kazooie,banjo-tooie,nintendo n64 console w/ one controller,superman,yoshi's story,road runner's death valley rally - nintendo super nes
23,crash bandicoot 3: warped,crash bandicoot,crash bandicoot 2: cortex strikes back,ape escape,spyro 2: ripto's rage,ctr: crash team racing
24,goldeneye 007,perfect dark,super mario 64,donkey kong 64 - nintendo 64,star wars: shadows of the empire,nintendo 64 controller - blue
25,grand theft auto - playstation,grand theft auto: london mission pack,grand theft auto 2,grand theft auto: collector's edition - playstation,super monkey ball jr.,final doom
26,mario kart 64,super mario 64,super smash bros.,nintendo n64 console w/ one controller,mario party 2,mystical ninja starring goemon
27,star wars: rogue squadron,star wars episode 1: battle for naboo,f-zero x,tony hawk pro skater 2,nba jam: tournament edition,rush 'n attack
28,the legend of zelda: ocarina of time,super mario 64,harvest moon 64,the legend of zelda: a link to the past,super smash bros.,mario kart 64
29,tomb raider iii: adventures of lara croft,tomb raider ii,tomb raider: the last revelation,arcade zone - nintendo wii,pdp disney infinity base protector,battletoads in battlemaniacs
30,turok 2: seeds of evil,turok: dinosaur hunter,quake 64,turok: rage wars,quake ii,bomberman 64
31,twisted metal iii,twisted metal 4,twisted metal 2,snk arcade classics vol 1 - playstation 2,apocalypse,twisted metal
32,wcw/nwo revenge,yu-gi-oh! falsebound kingdom - gamecube,mortal kombat advance,wwf wrestlemania: the arcade game - nintendo super nes,tom clancy's rainbow six,wwf royal rumble
33,tomb raider iii: adventures of lara croft,tomb raider: the last revelation - pc,pure - pc,advent rising - pc,lara croft tomb raider: the angel of darkness,spider-man: web of shadows - pc
34,super mario 64,mario kart 64,yoshi's story,banjo-tooie,the legend of zelda: ocarina of time,super smash bros.
35,quake ii,quake 64,starcraft 64,doom 64,turok: dinosaur hunter,turok 2: seeds of evil
36,simcity 3000 - pc,euro truck simulator 2 - pc,team umizoomi - nintendo ds,farming simulator - xbox 360,dora the explorer: journey to the purple planet - playstation 2,rpg maker
37,mortal kombat 4,mortal kombat trilogy,banjo-kazooie: grunty's revenge,tekken advance,mortal kombat deadly alliance,namco museum 64
38,battletanx,heavy fire: afghanistan wii,mortal kombat gold,shrek superslam - playstation 2,cirka controller for n64 (black),duke nukem: zero hour
39,south park,"brendo new nintendo 3ds xl, 2ds xl and 3ds carrying case with 24 game cartridge holders and large stylus - black",doom,pokemon stadium,rampage 2: universal tour,tetris
40,castlevania 64,front mission - nintendo ds,bomberman 64,breath of fire,quake 64,turok 3: shadow of oblivion
41,spyro the dragon,spyro 2: ripto's rage,spyro: year of the dragon,frogger,ctr: crash team racing,crash bandicoot
42,tenchu: stealth assassins,tenchu 2,tenchu: fatal shadows,tenchu: wrath of heaven,nintendo dsi - crystal case plus xl,phantom dust
43,resident evil 2,resident evil 3: nemesis,silent hill,resident evil: director's cut,dino crisis,resident evil 3: nemesis
44,medievil,medievil 2,nintendo 64 controller - red,oddworld: abe's exoddus,diablo ii + expansion set,spider-man 2: enter electro
45,wcw vs. nwo: thunder,yu-gi-oh! falsebound kingdom - gamecube,espn nba basketball,fifa 2001: major league soccer,wwf smackdown!,nascar dirt to daytona
46,crash bandicoot,crash bandicoot 2: cortex strikes back,crash bandicoot 3: warped,spyro: year of the dragon,spyro the dragon,spyro 2: ripto's rage
