,1_star_ratings,2_star_ratings,3_star_ratings,4_star_ratings,5_star_ratings,total_ratings,avg_ratings
god of war iii - playstation 3,10,8,26,58,327,429,4.594405594405594
diablo iii,112,62,58,52,118,402,3.0049751243781095
infamous - playstation 3,4,10,36,93,214,357,4.408963585434174
resident evil 5 - playstation 3,10,15,50,110,169,354,4.166666666666667
assassin's creed - playstation 3,11,19,48,63,159,300,4.133333333333334
the last of us remastered - playstation 4,9,7,12,15,254,297,4.6767676767676765
dead space (playstation 3),0,2,18,66,207,293,4.631399317406143
assassin's creed,17,25,44,80,119,285,3.9087719298245616
uncharted 4: a thief's end - playstation 4,10,2,16,35,215,278,4.593525179856115
mario kart wii with wii wheel,6,2,14,57,198,277,4.584837545126354
killzone: shadow fall (playstation 4),15,28,46,61,110,260,3.8576923076923078
wii,4,13,23,43,174,257,4.439688715953308
bloodborne,19,12,21,36,164,252,4.246031746031746
destiny - standard edition - playstation 4,39,30,46,38,90,243,3.4526748971193415
dead space (x-box 360) platinum hits,4,2,18,52,165,241,4.54356846473029
uncharted: drake's fortune - playstation 3,7,6,19,46,156,234,4.444444444444445
assassin's creed unity limited edition - playstation 4,29,25,29,45,103,231,3.727272727272727
mario kart 8 - nintendo wii u,4,4,8,35,178,229,4.655021834061135
metal gear solid 4: guns of the patriots,6,6,10,27,178,227,4.607929515418502
starcraft ii: wings of liberty,44,30,20,56,77,227,3.405286343612335
resident evil 5 - xbox 360,16,16,26,46,117,221,4.049773755656108
final fantasy xiii - playstation 3,23,27,36,39,96,221,3.7149321266968327
gears of war 2 - xbox 360,4,6,20,41,150,221,4.479638009049774
resistance 2 - playstation 3,6,12,34,48,120,220,4.2
playstation 3 dualshock 3 wireless controller (black),4,6,18,26,160,214,4.5514018691588785
halo 4 - xbox 360 (standard game),8,10,14,39,139,210,4.385714285714286
mortal kombat vs. dc universe - playstation 3,6,10,26,40,126,208,4.298076923076923
batman: arkham knight - playstation 4 [digital code],12,5,25,41,122,205,4.248780487804878
